geometry,temperature_K,state_index,spin1_index,spin2_index,p_initial,p_equilibrium,p_end,p_time_mean
face,203.0,53,6,5,0.015625,0.12280363268781663,0.018055257931429338,0.01685656984617196
face,203.0,54,6,6,0.015625,9.647307517376526e-06,0.01564184908786846,0.01563374875933465
face,203.0,55,6,7,0.015625,0.0010884504622583056,0.016071104706449672,0.015851125672065265
face,203.0,56,7,0,0.015625,9.647307517376526e-06,0.013884356787738581,0.014737102324878683
face,203.0,57,7,1,0.015625,8.550737544980031e-08,0.014952046820799189,0.01528602710524022
face,203.0,58,7,2,0.015625,8.550737544980031e-08,0.014952046820799168,0.0152860271052402
face,203.0,59,7,3,0.015625,7.578810194599657e-10,0.015372233138468182,0.015498273515006246
face,203.0,60,7,4,0.015625,0.12280363268781663,0.018055257931420408,0.016856569846162916
face,203.0,61,7,5,0.015625,0.0010884504622583056,0.01607110470644984,0.015851125672065373
face,203.0,62,7,6,0.015625,0.0010884504622583056,0.016071104706451303,0.015851125672066868
face,203.0,63,7,7,0.015625,9.647307517376526e-06,0.01564184908786743,0.015633748759333613
face,204.0,0,0,0,0.015625,1.0100602386599947e-05,0.01564310669693034,0.01563447666201387
face,204.0,1,0,1,0.015625,0.0011134969309242737,0.016129879338614626,0.015881413701036618
face,204.0,2,0,2,0.015625,0.0011134969309242737,0.016129879338609588,0.015881413701031504
face,204.0,3,0,3,0.015625,0.12275262085582843,0.018369758607607718,0.017018265006087607
face,204.0,4,0,4,0.015625,8.31120084124415e-10,0.015335621368768601,0.015479860534888444
face,204.0,5,0,5,0.015625,9.162321488170023e-08,0.014860785504395693,0.015239663092603196
face,204.0,6,0,6,0.015625,9.162321488170023e-08,0.014860785504395698,0.015239663092603198
face,204.0,7,0,7,0.015625,1.0100602386599947e-05,0.013670183640678752,0.014625244209737629
face,204.0,8,1,0,0.015625,0.0011134969309242737,0.01612987933861425,0.015881413701036212
face,204.0,9,1,1,0.015625,1.0100602386599947e-05,0.015643106696926017,0.015634476662009535
face,204.0,10,1,2,0.015625,0.12275262085582843,0.018369758607604664,0.017018265006083253
face,204.0,11,1,3,0.015625,0.0011134969309242737,0.016129879338612596,0.015881413701034616
face,204.0,12,1,4,0.015625,9.162321488170023e-08,0.014860785504395754,0.015239663092603259
face,204.0,13,1,5,0.015625,8.31120084124415e-10,0.015335621368768594,0.01547986053488844
face,204.0,14,1,6,0.015625,1.0100602386599947e-05,0.013670183640680494,0.014625244209739317
face,204.0,15,1,7,0.015625,9.162321488170023e-08,0.01486078550439571,0.015239663092603217
face,204.0,16,2,0,0.015625,0.0011134969309242737,0.016129879338613574,0.01588141370103558
face,204.0,17,2,1,0.015625,0.12275262085582843,0.018369758607629093,0.0170182650061076
face,204.0,18,2,2,0.015625,1.0100602386599947e-05,0.0156431066969257,0.015634476662009195
face,204.0,19,2,3,0.015625,0.0011134969309242737,0.01612987933859882,0.01588141370102054
face,204.0,20,2,4,0.015625,9.162321488170023e-08,0.014860785504395723,0.015239663092603228
face,204.0,21,2,5,0.015625,1.0100602386599947e-05,0.013670183640678785,0.014625244209737601
face,204.0,22,2,6,0.015625,8.31120084124415e-10,0.015335621368768607,0.015479860534888451
face,204.0,23,2,7,0.015625,9.162321488170023e-08,0.014860785504395744,0.015239663092603252
face,204.0,24,3,0,0.015625,0.12275262085582843,0.018369758607619135,0.017018265006097877
face,204.0,25,3,1,0.015625,0.0011134969309242737,0.016129879338613946,0.01588141370103592
face,204.0,26,3,2,0.015625,0.0011134969309242737,0.016129879338612357,0.015881413701034477
face,204.0,27,3,3,0.015625,1.0100602386599947e-05,0.01564310669692263,0.0156344766620061
face,204.0,28,3,4,0.015625,1.0100602386599947e-05,0.013670183640678974,0.014625244209737816
face,204.0,29,3,5,0.015625,9.162321488170023e-08,0.014860785504395712,0.015239663092603216
face,204.0,30,3,6,0.015625,9.162321488170023e-08,0.014860785504395726,0.015239663092603233
face,204.0,31,3,7,0.015625,8.31120084124415e-10,0.015335621368768614,0.015479860534888455
face,204.0,32,4,0,0.015625,8.31120084124415e-10,0.015335621368768601,0.015479860534888444
face,204.0,33,4,1,0.015625,9.162321488170023e-08,0.014860785504395712,0.015239663092603219
face,204.0,34,4,2,0.015625,9.162321488170023e-08,0.01486078550439571,0.015239663092603217
face,204.0,35,4,3,0.015625,1.0100602386599947e-05,0.013670183640678681,0.014625244209737494
face,204.0,36,4,4,0.015625,1.0100602386599947e-05,0.01564310669692419,0.015634476662007648
face,204.0,37,4,5,0.015625,0.0011134969309242737,0.016129879338610792,0.01588141370103281
face,204.0,38,4,6,0.015625,0.0011134969309242737,0.01612987933861015,0.015881413701032143
face,204.0,39,4,7,0.015625,0.12275262085582843,0.018369758607608574,0.017018265006087354
