parameter_set,transfer_plan,edge_nm,direction,orientation,temperature_K,scale_s,beta_nm,K_W_nm6_kcalmol,centre_distance_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,U_pair_J,U_pair_kBT,U_pair_per_particle_kBT
singh_calibrated_si_mesh,plan1,19.50,111,co_oriented,298.15,1.0,7.0375,6.013895e+05,31.123867,-3.222876e+00,1.432403e+01,1.110115e+01,7.712744e-20,1.873660e+01,9.368301e+00
singh_calibrated_si_mesh,plan1,19.50,111,co_oriented,298.15,2.0,7.0375,6.013895e+05,31.123867,-6.445752e+00,2.864806e+01,2.220231e+01,1.542549e-19,3.747320e+01,1.873660e+01
singh_calibrated_si_mesh,plan1,19.50,111,co_oriented,298.15,5.0,7.0375,6.013895e+05,31.123867,-1.611438e+01,7.162015e+01,5.550577e+01,3.856372e-19,9.368301e+01,4.684151e+01
singh_calibrated_si_mesh,plan1,19.50,111,co_oriented,300.00,1.0,7.0375,6.013895e+05,31.123867,-3.222876e+00,1.432403e+01,1.110115e+01,7.712744e-20,1.862106e+01,9.310530e+00
singh_calibrated_si_mesh,plan1,19.50,111,co_oriented,300.00,2.0,7.0375,6.013895e+05,31.123867,-6.445752e+00,2.864806e+01,2.220231e+01,1.542549e-19,3.724212e+01,1.862106e+01
singh_calibrated_si_mesh,plan1,19.50,111,co_oriented,300.00,5.0,7.0375,6.013895e+05,31.123867,-1.611438e+01,7.162015e+01,5.550577e+01,3.856372e-19,9.310530e+01,4.655265e+01
singh_calibrated_si_mesh,plan2,13.00,100,co_oriented,298.15,1.0,6.8427,5.279688e+04,16.000000,-1.033139e+01,8.082963e+00,-2.248425e+00,-1.562137e-20,-3.794907e+00,-1.897453e+00
singh_calibrated_si_mesh,plan2,13.00,100,co_oriented,298.15,2.0,6.8427,5.279688e+04,16.000000,-2.066278e+01,1.616593e+01,-4.496850e+00,-3.124275e-20,-7.589813e+00,-3.794907e+00
singh_calibrated_si_mesh,plan2,13.00,100,co_oriented,298.15,5.0,6.8427,5.279688e+04,16.000000,-5.165694e+01,4.041481e+01,-1.124213e+01,-7.810686e-20,-1.897453e+01,-9.487267e+00
singh_calibrated_si_mesh,plan2,13.00,100,co_oriented,300.00,1.0,6.8427,5.279688e+04,16.000000,-1.033139e+01,8.082963e+00,-2.248425e+00,-1.562137e-20,-3.771505e+00,-1.885752e+00
singh_calibrated_si_mesh,plan2,13.00,100,co_oriented,300.00,2.0,6.8427,5.279688e+04,16.000000,-2.066278e+01,1.616593e+01,-4.496850e+00,-3.124275e-20,-7.543009e+00,-3.771505e+00
singh_calibrated_si_mesh,plan2,13.00,100,co_oriented,300.00,5.0,6.8427,5.279688e+04,16.000000,-5.165694e+01,4.041481e+01,-1.124213e+01,-7.810686e-20,-1.885752e+01,-9.428762e+00
singh_calibrated_si_mesh,plan2,13.00,100,twist45_about_axis,298.15,1.0,6.8427,5.279688e+04,16.000000,-1.012341e+01,7.620291e+00,-2.503124e+00,-1.739094e-20,-4.224789e+00,-2.112394e+00
singh_calibrated_si_mesh,plan2,13.00,100,twist45_about_axis,298.15,2.0,6.8427,5.279688e+04,16.000000,-2.024683e+01,1.524058e+01,-5.006247e+00,-3.478188e-20,-8.449577e+00,-4.224789e+00
