assembly,temperature_K,volume_fraction,escape_length_nm,p_free,p_bound,kBT_J,p_face,p_tip,U_total_per_NC_J,U_total_per_NC_kBT
dimer,370.0,0.0001,0.5,0.9993913684788295,0.0006086315211705579,5.1084013e-21,0.0005897815216067187,1.8849999563839256e-05,-8.708097371476151e-24,-0.00170466195979477
dimer,372.0,0.0001,0.5,0.9994093994995076,0.0005906005004922906,5.13601428e-21,0.0005718411704684669,1.875933002382363e-05,-8.43604706639064e-24,-0.001642527961661088
dimer,374.0,0.0001,0.5,0.9994266837583162,0.0005733162416838322,5.16362726e-21,0.0005546457573459566,1.867048433787554e-05,-8.175407138413076e-24,-0.0015832682582927328
dimer,376.0,0.0001,0.5,0.9994432589788341,0.0005567410211658577,5.19124024e-21,0.0005381576087646235,1.858341240123431e-05,-7.925596938720606e-24,-0.0015267251316268512
dimer,378.0,0.0001,0.5,0.9994591606683044,0.0005408393316956554,5.21885322e-21,0.0005223412658553657,1.8498065840289758e-05,-7.686070092622418e-24,-0.0014727507689174706
dimer,380.0,0.0001,0.5,0.9994744222648436,0.000525577735156438,5.2464662e-21,0.0005071633372151482,1.841439794128977e-05,-7.456312215747991e-24,-0.0014212065667644996
dimer,382.0,0.0001,0.5,0.9994890752738086,0.0005109247261913393,5.27407918e-21,0.0004925923626089267,1.83323635824126e-05,-7.235838798867051e-24,-0.0013719624889793655
dimer,384.0,0.0001,0.5,0.9995031493941917,0.0004968506058082705,5.30169216e-21,0.00047859868663924324,1.8251919169027284e-05,-7.024193247730162e-24,-0.0013248964737571942
dimer,386.0,0.0001,0.5,0.999516672635842,0.0004833273641580391,5.3293051400000004e-21,0.00046515434158606283,1.8173022571976278e-05,-6.820945065507396e-24,-0.001279893886036219
dimer,388.0,0.0001,0.5,0.9995296714282429,0.00047032857175715166,5.3569181200000004e-21,0.00045223293868842826,1.809563306872341e-05,-6.625688166479637e-24,-0.0012368470112960467
dimer,390.0,0.0001,0.5,0.9995421707215106,0.00045782927848939456,5.3845311000000004e-21,0.00043980956720217584,1.8019711287218762e-05,-6.438039310613721e-24,-0.001195654587381568
