assembly,channel,dipole_manifold,temperature_K,twist_halfwidth_deg,volume_fraction,twist_registry_weight,twist_free_energy_cost_kBT,orbit_count,alpha,p_pair,p_free,kBT_J,vdW_pair_J,U_bound_conditional_per_NC_J,U_total_per_NC_J,vdW_pair_kBT,U_bound_conditional_per_NC_kBT,U_total_per_NC_kBT
dimer,face,free,215.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0016096838756136055,0.9983903161243864,2.96839535e-21,-4.8834370285786125e-21,-1.5534039476725386e-20,-2.5004892868830063e-23,-1.645143740229418,-5.23314371743824,-0.008423707060728976
dimer,face,free,216.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00153367047826206,0.998466329521738,2.98220184e-21,-4.8834370285786125e-21,-1.5530848270561857e-20,-2.381920349492809e-23,-1.6375273340246521,-5.207846116331903,-0.007987119843949961
dimer,face,free,217.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0014619075543488718,0.9985380924456512,2.99600833e-21,-4.8834370285786125e-21,-1.5527620737384587e-20,-2.2699946057046728e-23,-1.6299811251120961,-5.182769547701687,-0.0075767299542343815
dimer,face,free,218.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.001394124532157867,0.9986058754678422,3.00981482e-21,-4.8834370285786125e-21,-1.5524356939880886e-20,-2.1642886855863178e-23,-1.6225041474739672,-5.157910990643898,-0.007190770246743345
dimer,face,free,219.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0013300699892755757,0.9986699300107245,3.02362131e-21,-4.8834370285786125e-21,-1.5521056944775467e-20,-2.0644092044083106e-23,-1.6150954527366432,-5.133267480766454,-0.006827605023091699
dimer,face,free,220.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0012695101705309086,0.9987304898294691,3.0374278e-21,-4.8834370285786125e-21,-1.5517720822744615e-20,-1.9699904407933546e-23,-1.6077541097696584,-5.108836108876272,-0.006485719399793978
dimer,face,free,221.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0012122276297920624,0.9987877723702079,3.05123429e-21,-4.8834370285786125e-21,-1.551434864833065e-20,-1.880692208973355e-23,-1.6004792042955875,-5.084614019702384,-0.006163709601511312
dimer,face,free,222.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0011580199845597889,0.9988419800154402,3.06504078e-21,-4.8834370285786125e-21,-1.5510940499856933e-20,-1.796197907815213e-23,-1.5932698385104724,-5.060598410653751,-0.0058602740933685485
dimer,face,free,223.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0011066987733419338,0.9988933012266581,3.0788472700000002e-21,-4.8834370285786125e-21,-1.550749645934355e-20,-1.716212730915989e-23,-1.5861251307144613,-5.0367865306107085,-0.005574205475012045
dimer,face,free,224.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0010580884067362658,0.9989419115932637,3.0926537600000002e-21,-4.8834370285786125e-21,-1.5504016612423487e-20,-1.6404620235451764e-23,-1.5790442149523432,-5.013175678748948,-0.005304383066616472
dimer,face,free,225.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0010120252039976653,0.9989879747960023,3.1064602500000002e-21,-4.8834370285786125e-21,-1.5500501048259546e-20,-1.568689773543089e-23,-1.572026240663666,-4.989763203395101,-0.00504976612381597
dimer,face,free,226.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.000968356507631145,0.9990316434923688,3.1202667400000002e-21,-4.8834370285786125e-21,-1.5496949859461835e-20,-1.5006572244843426e-23,-1.5650703723421453,-4.966546500912878,-0.004809387624611678
dimer,face,free,227.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0009269398692427298,0.9990730601307573,3.1340732300000002e-21,-4.8834370285786125e-21,-1.5493363142006125e-20,-1.4361416004981285e-23,-1.5581757892040742,-4.9435230146189415,-0.004582348576769307
dimer,face,free,228.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0008876423005035641,0.9991123576994965,3.1478797200000003e-21,-4.8834370285786125e-21,-1.54897409951527e-20,-1.374934933114171e-23,-1.55134168486546,-4.920690233727449,-0.004367812799131254
dimer,face,free,229.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0008503395836452833,0.9991496604163547,3.1616862100000003e-21,-4.8834370285786125e-21,-1.5486083521366147e-20,-1.3168429813854572e-23,-1.5445672670276194,-4.898045692322562,-0.004165002134685141
