assembly,temperature_K,state_index,contact,spin1_index,spin2_index,energy_per_NC_J,p_equilibrium,p_window_mean
dimer,200.0,107,face,5,3,4.180866747994193e-21,6.262105925578803e-08,6.262214809717969e-08
dimer,200.0,108,face,5,4,-9.064303776572805e-21,0.0009185389513508923,0.0009185435855620036
dimer,200.0,109,face,5,5,-2.4417185142893062e-21,7.584186317680607e-06,7.584311629303814e-06
dimer,200.0,110,face,5,6,-1.5686889038856305e-20,0.11124645015403864,0.1112462450725804
dimer,200.0,111,face,5,7,-9.064303776572805e-21,0.0009185389513508923,0.0009185435855193714
dimer,200.0,112,face,6,0,4.180866747994193e-21,6.262105925578803e-08,6.262214824880112e-08
dimer,200.0,113,face,6,1,-2.4417185142893062e-21,7.584186317680607e-06,7.584315317430291e-06
dimer,200.0,114,face,6,2,1.0803452010277694e-20,5.170491464819598e-10,5.170583722794739e-10
dimer,200.0,115,face,6,3,4.180866747994193e-21,6.262105925578803e-08,6.262214809718047e-08
dimer,200.0,116,face,6,4,-9.064303776572805e-21,0.0009185389513508923,0.0009185435855619951
dimer,200.0,117,face,6,5,-1.5686889038856305e-20,0.11124645015403864,0.1112462450725774
dimer,200.0,118,face,6,6,-2.4417185142893062e-21,7.584186317680607e-06,7.584311629303906e-06
dimer,200.0,119,face,6,7,-9.064303776572805e-21,0.0009185389513508923,0.0009185435855193688
dimer,200.0,120,face,7,0,-2.4417185142893062e-21,7.584186317680607e-06,7.584315318660633e-06
dimer,200.0,121,face,7,1,4.180866747994193e-21,6.262105925578803e-08,6.262214824880175e-08
dimer,200.0,122,face,7,2,4.180866747994193e-21,6.262105925578803e-08,6.262214824880203e-08
dimer,200.0,123,face,7,3,1.0803452010277694e-20,5.170491464819598e-10,5.1705836994209e-10
dimer,200.0,124,face,7,4,-1.5686889038856305e-20,0.11124645015403864,0.1112462449832955
dimer,200.0,125,face,7,5,-9.064303776572805e-21,0.0009185389513508923,0.0009185435855191695
dimer,200.0,126,face,7,6,-9.064303776572805e-21,0.0009185389513508923,0.0009185435855191729
dimer,200.0,127,face,7,7,-2.4417185142893062e-21,7.584186317680607e-06,7.584311573919307e-06
dimer,200.0,128,tip,0,0,-5.999090927006206e-21,0.00013299901927144858,0.0001330012489508289
dimer,200.0,129,tip,0,1,-2.0814704485859262e-21,7.789843676443023e-06,7.789963436922048e-06
dimer,200.0,130,tip,0,2,-2.0814704485859262e-21,7.789843676443023e-06,7.789963436922099e-06
dimer,200.0,131,tip,0,3,1.8361500298343537e-21,4.5625648095621954e-07,4.562630078011675e-07
dimer,200.0,132,tip,0,4,-2.0814704485859262e-21,7.789843676443023e-06,7.789982520335164e-06
dimer,200.0,133,tip,0,5,1.8361500298343537e-21,4.5625648095621954e-07,4.562644147329633e-07
dimer,200.0,134,tip,0,6,1.8361500298343537e-21,4.5625648095621954e-07,4.562644147329654e-07
dimer,200.0,135,tip,0,7,5.753770508254634e-21,2.6723254671216514e-08,2.6723709265593766e-08
dimer,200.0,136,tip,1,0,-2.0814704485859262e-21,7.789843676443023e-06,7.789963436922093e-06
dimer,200.0,137,tip,1,1,1.8361500298343545e-21,4.5625648095621954e-07,4.5626414686383447e-07
dimer,200.0,138,tip,1,2,-2.0814704485859266e-21,7.789843676443036e-06,7.789955247547581e-06
dimer,200.0,139,tip,1,3,1.836150029834354e-21,4.5625648095621954e-07,4.5626349396825893e-07
dimer,200.0,140,tip,1,4,-2.0814704485859266e-21,7.789843676443036e-06,7.7899790429686e-06
dimer,200.0,141,tip,1,5,1.836150029834354e-21,4.5625648095621954e-07,4.562646217474418e-07
dimer,200.0,142,tip,1,6,-2.081470448585927e-21,7.789843676443036e-06,7.7899761757823e-06
dimer,200.0,143,tip,1,7,1.8361500298343537e-21,4.5625648095621954e-07,4.5626441473296853e-07
dimer,200.0,144,tip,2,0,-2.0814704485859262e-21,7.789843676443023e-06,7.789963436922232e-06
dimer,200.0,145,tip,2,1,-2.0814704485859266e-21,7.789843676443036e-06,7.789955247547656e-06
dimer,200.0,146,tip,2,2,1.8361500298343545e-21,4.5625648095621954e-07,4.5626414686384125e-07
dimer,200.0,147,tip,2,3,1.836150029834354e-21,4.5625648095621954e-07,4.5626349396826306e-07
dimer,200.0,148,tip,2,4,-2.0814704485859266e-21,7.789843676443036e-06,7.789979042968727e-06
dimer,200.0,149,tip,2,5,-2.081470448585927e-21,7.789843676443036e-06,7.789976175782416e-06
dimer,200.0,150,tip,2,6,1.836150029834354e-21,4.5625648095621954e-07,4.5626462174744873e-07
dimer,200.0,151,tip,2,7,1.8361500298343537e-21,4.5625648095621954e-07,4.562644147329763e-07
dimer,200.0,152,tip,3,0,1.8361500298343537e-21,4.5625648095621954e-07,4.5626300780118045e-07
dimer,200.0,153,tip,3,1,1.836150029834354e-21,4.5625648095621954e-07,4.5626349396826957e-07
dimer,200.0,154,tip,3,2,1.836150029834354e-21,4.5625648095621954e-07,4.562634939682701e-07
