geometry,temperature_K,old_rotation_cost_kBT,new_rotation_cost_kBT,free_energy_change_kBT,Udd_kBT,new_Fmag_plus_rotation_kBT
tip,226.0,12.034227857145611,-0.0,-12.034227857145611,-0.028279509808268245,-0.028022613986766975
tip,227.0,12.034227857145611,-0.0,-12.034227857145611,-0.03159996956289472,-0.031277166789208
tip,228.0,12.034227857145611,-0.0,-12.034227857145611,-0.03526949674200859,-0.03486487186542342
tip,229.0,12.034227857145611,-0.0,-12.034227857145611,-0.03931959140158336,-0.038813652304886315
tip,230.0,12.034227857145611,-0.0,-12.034227857145611,-0.04378390484049874,-0.043152848615966466
tip,231.0,12.034227857145611,-0.0,-12.034227857145611,-0.04869828152142526,-0.047913128394562854
tip,232.0,12.034227857145611,-0.0,-12.034227857145611,-0.05410078093213377,-0.05312635688501022
tip,233.0,12.034227857145611,-0.0,-12.034227857145611,-0.06003167462652655,-0.0588254222192659
tip,234.0,12.034227857145611,-0.0,-12.034227857145611,-0.06653341304314864,-0.06504400875980565
tip,235.0,12.034227857145611,-0.0,-12.034227857145611,-0.07365055603145118,-0.07181631174142589
tip,236.0,12.034227857145611,-0.0,-12.034227857145611,-0.08142966033910327,-0.0791766863616793
tip,237.0,12.034227857145611,-0.0,-12.034227857145611,-0.08991911665119719,-0.08715922467460968
tip,238.0,12.034227857145611,-0.0,-12.034227857145611,-0.09916892815666176,-0.09579725417449403
tip,239.0,12.034227857145611,-0.0,-12.034227857145611,-0.1092304220900536,-0.10512275290167639
tip,240.0,12.034227857145611,-0.0,-12.034227857145611,-0.12015588531278927,-0.11516567735784577
tip,241.0,12.034227857145611,-0.0,-12.034227857145611,-0.13199811482304946,-0.12595320158420598
tip,242.0,12.034227857145611,-0.0,-12.034227857145611,-0.14480987420007235,-0.1375088685357786
tip,243.0,12.034227857145611,-0.0,-12.034227857145611,-0.15864324749232617,-0.14985165847370363
tip,244.0,12.034227857145611,-0.0,-12.034227857145611,-0.17354888306231261,-0.16299498357374398
tip,245.0,12.034227857145611,-0.0,-12.034227857145611,-0.18957512152721104,-0.1769456233592429
tip,246.0,12.034227857145611,-0.0,-12.034227857145611,-0.20676700431919298,-0.19170262190837994
tip,247.0,12.034227857145611,-0.0,-12.034227857145611,-0.22516516266813458,-0.20725617498355142
tip,248.0,12.034227857145611,-0.0,-12.034227857145611,-0.24480459111297842,-0.22358654311348125
tip,249.0,12.034227857145611,-0.0,-12.034227857145611,-0.26571331508399487,-0.24066303492882324
tip,250.0,12.034227857145611,-0.0,-12.034227857145611,-0.28791096873387856,-0.2584431132586248
tip,251.0,12.034227857145611,-0.0,-12.034227857145611,-0.31140730703234,-0.27687168400930595
tip,252.0,12.034227857145611,-0.0,-12.034227857145611,-0.3362006850820235,-0.29588063384705854
