geometry,exposure_s,time_s,temperature_K,stage,Udd_J,Udd_kBT
face,150.0,1851.0,233.25,ramp,-2.604152158578478e-20,-8.08651545717712
face,150.0,1854.0,233.0,ramp,-2.6043108765417128e-20,-8.095685361971547
face,150.0,1857.0,232.75,ramp,-2.6044688248019482e-20,-8.104872570563115
face,150.0,1860.0,232.5,ramp,-2.6046259686318112e-20,-8.114077030585861
face,150.0,1863.0,232.25,ramp,-2.6047822772745714e-20,-8.123298701831233
face,150.0,1866.0,232.0,ramp,-2.604937723325086e-20,-8.132537554380926
face,150.0,1869.0,231.75,ramp,-2.6050922822170345e-20,-8.141793567059818
face,150.0,1872.0,231.5,ramp,-2.6052459317971842e-20,-8.151066726151168
face,150.0,1875.0,231.25,ramp,-2.6053986519710437e-20,-8.160357024327102
face,150.0,1878.0,231.0,ramp,-2.6055504244073166e-20,-8.169664459756492
face,150.0,1881.0,230.75,ramp,-2.6057012322908617e-20,-8.178989035359304
face,150.0,1884.0,230.5,ramp,-2.6058510601158166e-20,-8.188330758182312
face,150.0,1887.0,230.25,ramp,-2.6059998935120452e-20,-8.197689638875532
face,150.0,1890.0,230.0,ramp,-2.6061477190993192e-20,-8.207065691252634
face,150.0,1890.0001,230.0,hold,-2.6061477240136178e-20,-8.207065706728336
face,150.0,1890.0001808577551,230.0,hold,-2.6061477279871997e-20,-8.207065719241614
face,150.0,1890.0003270952757,230.0,hold,-2.6061477351737074e-20,-8.207065741872771
face,150.0,1890.0005915771726,230.0,hold,-2.60614774817099e-20,-8.207065782802744
face,150.0,1890.001069913194,230.0,hold,-2.6061477716773394e-20,-8.207065856827002
face,150.0,1890.0019350209839,230.0,hold,-2.6061478141895987e-20,-8.207065990703107
face,150.0,1890.0034996355116,230.0,hold,-2.60614789107371e-20,-8.207066232820216
face,150.0,1890.006329362222,230.0,hold,-2.606148030116063e-20,-8.20706667068094
face,150.0,1890.0114471424256,230.0,hold,-2.60614828155706e-20,-8.207067462498213
face,150.0,1890.0207030448112,230.0,hold,-2.6061487362164268e-20,-8.207068894274034
face,150.0,1890.037443062078,230.0,hold,-2.6061495582050402e-20,-8.207071482812855
face,150.0,1890.067718681506,230.0,hold,-2.6061510438608232e-20,-8.207076161317653
face,150.0,1890.1224744871392,230.0,hold,-2.6061537276017252e-20,-8.207084612733404
face,150.0,1890.2215046079812,230.0,hold,-2.6061585709699952e-20,-8.207099865069742
face,150.0,1890.400608261385,230.0,hold,-2.6061672967572052e-20,-8.207127343599955
face,150.0,1890.7245311081915,230.0,hold,-2.6061829682728872e-20,-8.207176695046053
face,150.0,1891.3103706971044,230.0,hold,-2.6062109575226083e-20,-8.2072648364854
face,150.0,1892.3699070259609,230.0,hold,-2.6062604495908144e-20,-8.207420692829224
face,150.0,1894.286160644548,230.0,hold,-2.6063464284326754e-20,-8.207691450314703
face,150.0,1897.7518539206937,230.0,hold,-2.606491225753089e-20,-8.208147434107119
face,150.0,1904.0198289777609,230.0,hold,-2.6067222837431045e-20,-8.208875062893718
face,150.0,1915.3559479547152,230.0,hold,-2.607058139838699e-20,-8.209932713240685
face,150.0,1935.8581982492133,230.0,hold,-2.6074727760791006e-20,-8.211238451529429
face,150.0,1972.9381078719666,230.0,hold,-2.6078569046711404e-20,-8.212448117645303
face,150.0,2040.0,230.0,hold,-2.608074588027731e-20,-8.21313362813818
face,150.0,2043.0,229.75,ramp,-2.6080855254371902e-20,-8.222105142133646
face,150.0,2046.0,229.5,ramp,-2.608109060352965e-20,-8.231135959369546
face,150.0,2049.0,229.25,ramp,-2.6081433789675988e-20,-8.240220543278975
face,150.0,2052.0,229.0,ramp,-2.608186992763744e-20,-8.249354361967956
face,150.0,2055.0,228.75,ramp,-2.608238659730326e-20,-8.258533644250154
face,150.0,2058.0,228.5,ramp,-2.6082973292802372e-20,-8.26775520920894
face,150.0,2061.0,228.25,ramp,-2.6083621027723287e-20,-8.27701634415591
face,150.0,2064.0,228.0,ramp,-2.60843220450953e-20,-8.286314715066464
face,150.0,2067.0,227.75,ramp,-2.6085069599179595e-20,-8.295648299262659
face,150.0,2070.0,227.5,ramp,-2.6085857787565063e-20,-8.305015333667873
face,150.0,2073.0,227.25,ramp,-2.6086681419297858e-20,-8.314414274204655
face,150.0,2076.0,227.0,ramp,-2.6087535909403758e-20,-8.323843763345554
face,150.0,2079.0,226.75,ramp,-2.6088417193166525e-20,-8.333302603759826
face,150.0,2082.0,226.5,ramp,-2.6089321655502503e-20,-8.342789736613087
face,150.0,2085.0,226.25,ramp,-2.6090246072093502e-20,-8.352304223487273
face,150.0,2088.0,226.0,ramp,-2.6091187559837962e-20,-8.361845231166987
face,150.0,2091.0,225.75,ramp,-2.6092143534801073e-20,-8.37141201873071
face,150.0,2094.0,225.5,ramp,-2.6093111676281265e-20,-8.381003926520718
face,150.0,2097.0,225.25,ramp,-2.609408989592368e-20,-8.390620366662393
face,150.0,2100.0,225.0,ramp,-2.6095076311039676e-20,-8.400260814874317
face,150.0,2103.0,224.75,ramp,-2.609606922146134e-20,-8.409924803362905
face,150.0,2106.0,224.5,ramp,-2.6097067089388386e-20,-8.419611914635002
face,150.0,2109.0,224.25,ramp,-2.6098068521784066e-20,-8.429321776092376
face,150.0,2112.0,224.0,ramp,-2.6099072254953252e-20,-8.439054055295621
face,150.0,2115.0,223.75,ramp,-2.6100077140997777e-20,-8.448808455803995
face,150.0,2118.0,223.5,ramp,-2.6101082135892528e-20,-8.458584713512565
face,150.0,2121.0,223.25,ramp,-2.6102086288966132e-20,-8.46838259342045
face,150.0,2124.0,223.0,ramp,-2.610308873360206e-20,-8.4782018867737
face,150.0,2127.0,222.75,ramp,-2.6104088679003745e-20,-8.48804240853493
face,150.0,2130.0,222.5,ramp,-2.610508540288882e-20,-8.497903995138328
face,150.0,2133.0,222.25,ramp,-2.6106078244997135e-20,-8.507786502494733
face,150.0,2136.0,222.0,ramp,-2.6107066601312748e-20,-8.517689804216161
face,150.0,2139.0,221.75,ramp,-2.6108049918913314e-20,-8.52761379003326
face,150.0,2142.0,221.5,ramp,-2.6109027691372234e-20,-8.537558364382795
face,150.0,2145.0,221.25,ramp,-2.6109999454648145e-20,-8.54752344514508
face,150.0,2148.0,221.0,ramp,-2.611096478340511e-20,-8.557508962514023
face,150.0,2151.0,220.75,ramp,-2.6111923287713648e-20,-8.567514857984422
face,150.0,2154.0,220.5,ramp,-2.6112874610089468e-20,-8.57754108344333
face,150.0,2157.0,220.25,ramp,-2.6113818422831527e-20,-8.587587600353636
face,150.0,2160.0,220.0,ramp,-2.6114754425626146e-20,-8.59765437901969
